Date,State,Deaths_White,Deaths_Black,Deaths_LatinX,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,"Populations (White, Black, LatinX, Asian, AIAN, NHPI, Multiracial)",,,,,,,,,,,
20200610,CO,979,106,324,55,8,5,11,0,,,,,,,,,,,0
20200610,CT,3002,619,349,45,0,0,0,0,,,,,,,,,,,0
20200610,DC,54,371,62,7,0,0,0,0,,,,,,,,,,,0
20200610,DE,251,109,27,1,0,0,0,0,,,,,,,,,,,0
20200610,FL,1393,576,650,0,0,0,0,0,,,,,,,,,,,0
20200610,GA,1023,1117,106,35,3,6,0,0,,,,,,,,,,,0
20200610,GU,0,0,0,0,0,0,0,0,,,,,,,,,,,0
20200610,HI,0,0,0,0,0,0,0,0,,,,,,,,,,,0
20200610,IA,498,31,0,31,0,0,0,0,,,,,,,,,,,0
20200610,ID,82,0,0,0,0,0,0,0,,,,,,,,,,,0
20200610,IL,2676,1746,1204,285,9,5,0,0,,,,,,,,,,,0
20200610,IN,1403,329,0,9,0,0,0,0,,,,,,,,,,,0
20200610,KS,162,60,0,7,2,0,0,0,,,,,,,,,,,0
20200610,KY,365,78,0,8,0,0,9,0,,,,,,,,,,,0
20200610,LA,1293,1566,0,22,2,2,0,0,,,,,,,,,,,0
20200610,MA,5463,618,499,193,0,0,0,0,,,,,,,,,,,0
20200610,MD,1219,1165,276,109,0,0,0,0,,,,,,,,,,,0
20200610,ME,87,1,0,0,0,0,0,0,,,,,,,,,,,0
20200610,MI,3059,2369,0,77,19,0,96,0,,,,,,,,,,,0
20200610,MN,753,78,0,37,14,1,7,0,,,,,,,,,,,0
20200610,MO,494,296,0,0,0,0,7,0,,,,,,,,,,,0
20200610,MP,0,0,0,0,0,0,0,0,,,,,,,,,,,0
20200610,MS,363,444,13,0,41,0,0,0,,,,,,,,,,,0
20200610,MT,0,0,0,0,0,0,0,0,,,,,,,,,,,0
20200610,NC,613,343,0,15,6,3,0,0,,,,,,,,,,,0
20200610,ND,0,0,0,0,0,0,0,0,,,,,,,,,,,0
20200610,NE,0,0,0,0,0,0,0,0,,,,,,,,,,,0
20200610,NH,189,6,8,2,0,0,0,0,,,,,,,,,,,0
20200610,NJ,6545,2251,2482,693,0,0,0,0,,,,,,,,,,,0
20200610,NM,0,0,0,0,0,0,0,0,,,,,,,,,,,0
20200610,NV,206,57,71,65,3,0,0,0,,,,,,,,,,,0
20200610,NY,7965,5833,6187,1573,0,0,0,0,,,,,,,,,,,0
20200610,OH,1929,446,0,24,0,0,29,0,,,,,,,,,,,0
