Data as of,End Week,Sex,Age Group,Total Deaths,COVID-19 Deaths
9/23/2020,5/2/2020,Female,25-34 years,440,26
9/23/2020,5/2/2020,Female,35-44 years,728,51
9/23/2020,5/2/2020,Female,45-54 years,"1,320",151
9/23/2020,5/2/2020,Female,55-64 years,"3,184",489
9/23/2020,5/2/2020,Female,65-74 years,"5,654",970
9/23/2020,5/2/2020,Female,75-84 years,"7,944","1,619"
9/23/2020,5/2/2020,Female,85 years and over,"13,606","3,049"
9/23/2020,5/2/2020,Female,All ages,"33,257","6,363"
9/23/2020,5/9/2020,Female,Under 1 year,150,1
9/23/2020,5/9/2020,Female,1-4 years,28,1
9/23/2020,5/9/2020,Female,5-14 years,33,0
9/23/2020,5/9/2020,Female,15-24 years,173,6
9/23/2020,5/9/2020,Female,25-34 years,454,21
9/23/2020,5/9/2020,Female,35-44 years,672,54
9/23/2020,5/9/2020,Female,45-54 years,"1,393",124
9/23/2020,5/9/2020,Female,55-64 years,"3,238",435
9/23/2020,5/9/2020,Female,65-74 years,"5,339",843
9/23/2020,5/9/2020,Female,75-84 years,"7,673","1,349"
9/23/2020,5/9/2020,Female,85 years and over,"12,607","2,561"
9/23/2020,5/9/2020,Female,All ages,"31,760","5,395"
9/23/2020,5/16/2020,Female,Under 1 year,170,1
9/23/2020,5/16/2020,Female,1-4 years,24,0
9/23/2020,5/16/2020,Female,5-14 years,35,0
9/23/2020,5/16/2020,Female,15-24 years,182,3
9/23/2020,5/16/2020,Female,25-34 years,386,14
9/23/2020,5/16/2020,Female,35-44 years,684,39
9/23/2020,5/16/2020,Female,45-54 years,"1,351",132
9/23/2020,5/16/2020,Female,55-64 years,"3,167",365
9/23/2020,5/16/2020,Female,65-74 years,"5,306",762
9/23/2020,5/16/2020,Female,75-84 years,"7,380","1,130"
9/23/2020,5/16/2020,Female,85 years and over,"12,384","2,231"
9/23/2020,5/16/2020,Female,All ages,"31,069","4,677"
9/23/2020,5/23/2020,Female,Under 1 year,164,0
9/23/2020,5/23/2020,Female,1-4 years,30,0
9/23/2020,5/23/2020,Female,5-14 years,36,0
9/23/2020,5/23/2020,Female,15-24 years,177,3
9/23/2020,5/23/2020,Female,25-34 years,431,18
9/23/2020,5/23/2020,Female,35-44 years,684,33
9/23/2020,5/23/2020,Female,45-54 years,"1,321",107
9/23/2020,5/23/2020,Female,55-64 years,"3,104",280
9/23/2020,5/23/2020,Female,65-74 years,"5,075",566
9/23/2020,5/23/2020,Female,75-84 years,"7,029",885
9/23/2020,5/23/2020,Female,85 years and over,"11,482","1,595"
9/23/2020,5/23/2020,Female,All ages,"29,533","3,487"
9/23/2020,5/30/2020,Female,Under 1 year,141,0
9/23/2020,5/30/2020,Female,1-4 years,30,1
9/23/2020,5/30/2020,Female,5-14 years,35,0
9/23/2020,5/30/2020,Female,15-24 years,168,5
9/23/2020,5/30/2020,Female,25-34 years,424,8
9/23/2020,5/30/2020,Female,35-44 years,684,32
9/23/2020,5/30/2020,Female,45-54 years,"1,246",100
9/23/2020,5/30/2020,Female,55-64 years,"2,846",225
9/23/2020,5/30/2020,Female,65-74 years,"4,948",535
9/23/2020,5/30/2020,Female,75-84 years,"6,744",703
9/23/2020,5/30/2020,Female,85 years and over,"10,934","1,373"
9/23/2020,5/30/2020,Female,All ages,"28,200","2,982"
9/23/2020,6/6/2020,Female,Under 1 year,174,0
9/23/2020,6/6/2020,Female,1-4 years,33,1
9/23/2020,6/6/2020,Female,5-14 years,43,0
9/23/2020,6/6/2020,Female,15-24 years,204,3
9/23/2020,6/6/2020,Female,25-34 years,439,11
9/23/2020,6/6/2020,Female,35-44 years,706,34
9/23/2020,6/6/2020,Female,45-54 years,"1,389",99
9/23/2020,6/6/2020,Female,55-64 years,"2,926",203
9/23/2020,6/6/2020,Female,65-74 years,"4,748",436
9/23/2020,6/6/2020,Female,75-84 years,"6,612",616
9/23/2020,6/6/2020,Female,85 years and over,"10,396","1,044"
9/23/2020,6/6/2020,Female,All ages,"27,670","2,447"
9/23/2020,6/13/2020,Female,Under 1 year,167,0
9/23/2020,6/13/2020,Female,1-4 years,28,0
9/23/2020,6/13/2020,Female,5-14 years,48,1
9/23/2020,6/13/2020,Female,15-24 years,216,3
9/23/2020,6/13/2020,Female,25-34 years,417,20
9/23/2020,6/13/2020,Female,35-44 years,675,37
9/23/2020,6/13/2020,Female,45-54 years,"1,340",81
9/23/2020,6/13/2020,Female,55-64 years,"2,942",201
9/23/2020,6/13/2020,Female,65-74 years,"4,881",335
9/23/2020,6/13/2020,Female,75-84 years,"6,440",514
9/23/2020,6/13/2020,Female,85 years and over,"10,211",814
9/23/2020,6/13/2020,Female,All ages,"27,365","2,006"
9/23/2020,6/20/2020,Female,Under 1 year,166,0
9/23/2020,6/20/2020,Female,1-4 years,24,0
9/23/2020,6/20/2020,Female,5-14 years,49,0
9/23/2020,6/20/2020,Female,15-24 years,189,6
9/23/2020,6/20/2020,Female,25-34 years,435,17
9/23/2020,6/20/2020,Female,35-44 years,682,38
9/23/2020,6/20/2020,Female,45-54 years,"1,311",79
9/23/2020,6/20/2020,Female,55-64 years,"2,877",166
9/23/2020,6/20/2020,Female,65-74 years,"4,756",287
9/23/2020,6/20/2020,Female,75-84 years,"6,569",466
9/23/2020,6/20/2020,Female,85 years and over,"10,105",770
9/23/2020,6/20/2020,Female,All ages,"27,163","1,829"
9/23/2020,6/27/2020,Female,Under 1 year,141,1
9/23/2020,6/27/2020,Female,1-4 years,15,2
